City, Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr,
Dunedin, Musselburgh Ews,Jan-2017,68,126.1,-,
Dunedin, Musselburgh Ews,Feb-2017,68,91.8,-,
Dunedin, Musselburgh Ews,Mar-2017,68,144.1,-,
Dunedin, Musselburgh Ews,Apr-2017,68,161.0,-,
Dunedin, Musselburgh Ews,May-2017,68,278.2,-,
Dunedin, Musselburgh Ews,Jun-2017,68,315.2,-,
Dunedin, Musselburgh Ews,Jul-2017,68,369.8,-,
Dunedin, Musselburgh Ews,Aug-2017,68,277.7,-,
Dunedin, Musselburgh Ews,Sep-2017,68,226.4,-,
Dunedin, Musselburgh Ews,Oct-2017,68,196.0,-,
Dunedin, Musselburgh Ews,Nov-2017,68,132.1,-,
Dunedin, Musselburgh Ews,Dec-2017,68,63.0,-,
Dunedin, Musselburgh Ews,Jan-2018,68,30.2,-,
Dunedin, Musselburgh Ews,Feb-2018,68,78.2,-,
Dunedin, Musselburgh Ews,Mar-2018,68,88.3,-,
Dunedin, Musselburgh Ews,Apr-2018,68,187.9,-,
Dunedin, Musselburgh Ews,May-2018,68,275.2,-,
Dunedin, Musselburgh Ews,Jun-2018,68,325.2,-,
Dunedin, Musselburgh Ews,Jul-2018,68,315.9,-,
Dunedin, Musselburgh Ews,Aug-2018,68,295.1,-,
Dunedin, Musselburgh Ews,Sep-2018,68,254.5,-,
Dunedin, Musselburgh Ews,Oct-2018,68,201.2,-,
Dunedin, Musselburgh Ews,Nov-2018,68,160.6,-,
Dunedin, Musselburgh Ews,Dec-2018,68,95.5,-,
Dunedin, Musselburgh Ews,Jan-2019,68,51.9,-,
Dunedin, Musselburgh Ews,Feb-2019,68,67.5,-,
Dunedin, Musselburgh Ews,Mar-2019,68,61.7,-,
Dunedin, Musselburgh Ews,Apr-2019,68,180.2,-,
Dunedin, Musselburgh Ews,May-2019,68,192.9,-,
Dunedin, Musselburgh Ews,Jun-2019,68,298.3,-,
Dunedin, Musselburgh Ews,Jul-2019,68,297.1,-,
Dunedin, Musselburgh Ews,Aug-2019,68,314.0,-,
Dunedin, Musselburgh Ews,Sep-2019,68,268.4,-,
Dunedin, Musselburgh Ews,Oct-2019,68,238.5,-,
Dunedin, Musselburgh Ews,Nov-2019,68,111.9,-,
Dunedin, Musselburgh Ews,Dec-2019,68,121.8,-,
Dunedin, Musselburgh Ews,Jan-2020,68,89.5,-,
Dunedin, Musselburgh Ews,Feb-2020,68,75.4,-,
Dunedin, Musselburgh Ews,Mar-2020,68,153.8,-,
Dunedin, Musselburgh Ews,Apr-2020,68,193.2,-,
Dunedin, Musselburgh Ews,May-2020,68,247.8,-,
Dunedin, Musselburgh Ews,Jun-2020,68,311.5,-,
Dunedin, Musselburgh Ews,Jul-2020,68,336.0,-,
Dunedin, Musselburgh Ews,Aug-2020,68,272.3,-,
Dunedin, Musselburgh Ews,Sep-2020,68,233.6,-,
Dunedin, Musselburgh Ews,Oct-2020,68,193.7,-,
Dunedin, Musselburgh Ews,Nov-2020,68,137.3,-,
Dunedin, Musselburgh Ews,Dec-2020,68,109.6,-,
Dunedin, Musselburgh Ews,Jan-2021,68,79.0,-,
Dunedin, Musselburgh Ews,Feb-2021,68,70.6,-,
Dunedin, Musselburgh Ews,Mar-2021,68,94.3,-,
Dunedin, Musselburgh Ews,Apr-2021,68,150.8,-,
Dunedin, Musselburgh Ews,May-2021,68,236.8,-,
Dunedin, Musselburgh Ews,Jun-2021,68,277.0,-,
Dunedin, Musselburgh Ews,Jul-2021,68,320.7,-,
Dunedin, Musselburgh Ews,Aug-2021,68,274.9,-,
Dunedin, Musselburgh Ews,Sep-2021,68,236.0,-,
Dunedin, Musselburgh Ews,Oct-2021,68,176.5,-,
Hamilton, Ruakura 2 Ews,Jan-2017,68,30.5,-,
Hamilton, Ruakura 2 Ews,Feb-2017,68,9.4,-,
Hamilton, Ruakura 2 Ews,Mar-2017,68,16.2,-,
Hamilton, Ruakura 2 Ews,Apr-2017,68,62.8,-,
